Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"Custom PCB","this will connect all the parts",2.10,1,2.10,https://jlcpcb.com/,JLCPCB
"0.91-inch OLED Display","This will display the color values",1.99,1,1.99,https://www.aliexpress.us/item/3256810479037826.html?spm=a2g0o.cart.0.0.4f4038dadceHst&mp=1&pdp_npi=6%40dis%21USD%21USD%208.35%21USD%201.99%21%21USD%201.99%21%21%21%40210328d417751664246907041ecf49%2112000053124264640%21ct%21US%217500193000%21%211%210%21&_gl=1*1hpfb28*_gcl_aw*R0NMLjE3NzUxNjU2ODcuQ2owS0NRandwN2pPQmhER0FSSXNBQmU3QzRlVW9GRlFBSU95OVVKVlRZdHVPM2RnUGh1Z3J0amNqQldOemxqVnBPbmZjemZJejJLX0phd2FBbW5qRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzUxNjU2ODcuQ2owS0NRandwN2pPQmhER0FSSXNBQmU3QzRlVW9GRlFBSU95OVVKVlRZdHVPM2RnUGh1Z3J0amNqQldOemxqVnBPbmZjemZJejJLX0phd2FBbW5qRUFMd193Y0I.*_gcl_au*NjY3Mzc3NzQ2LjE3Njk3NTEyMTc.*_ga*MjA1MTA2NTI1My4xNzc1MTU2NjY1*_ga_VED1YSGNC7*czE3NzUxNjQxNTckbzIkZzEkdDE3NzUxNjYzOTUkajQ0JGwwJGgw&gatewayAdapt=glo2usa,Aliexpress
"TCS34725 Color Sensor","This will detect the color of objects",3.85,1,3.85,https://www.aliexpress.us/item/3256807206040384.html?spm=a2g0o.cart.0.0.4f4038dadceHst&mp=1&pdp_npi=6%40dis%21USD%21USD%203.84%21USD%203.84%21%21USD%203.84%21%21%21%40210328d417751664246907041ecf49%2112000040560020511%21ct%21US%217500193000%21%211%210%21&_gl=1*1hpfb28*_gcl_aw*R0NMLjE3NzUxNjU2ODcuQ2owS0NRandwN2pPQmhER0FSSXNBQmU3QzRlVW9GRlFBSU95OVVKVlRZdHVPM2RnUGh1Z3J0amNqQldOemxqVnBPbmZjemZJejJLX0phd2FBbW5qRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzUxNjU2ODcuQ2owS0NRandwN2pPQmhER0FSSXNBQmU3QzRlVW9GRlFBSU95OVVKVlRZdHVPM2RnUGh1Z3J0amNqQldOemxqVnBPbmZjemZJejJLX0phd2FBbW5qRUFMd193Y0I.*_gcl_au*NjY3Mzc3NzQ2LjE3Njk3NTEyMTc.*_ga*MjA1MTA2NTI1My4xNzc1MTU2NjY1*_ga_VED1YSGNC7*czE3NzUxNjQxNTckbzIkZzEkdDE3NzUxNjYzOTUkajQ0JGwwJGgw&gatewayAdapt=glo2usa,Aliexpress
"Seeed Studio XIAO RP2040","This is the brains of the device",3.99,1,3.99,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html,"Seed Studio"
"SK6812 MINI-E LEDs","this will display the color",0.06,2,0.12,https://www.alibaba.com/product-detail/Reverse-Mount-6028-Rgb-Smd-Led_1600431875998.html?spm=a2700.prosearch.normal_offer.d_image.5f3567afr3rgNd&priceId=f14f6aa29c234970bb282fd6405c23b3,Alibaba
"M3 x 12mm Bolts","This will hold everything together",0.05,4,0.20,https://www.alibaba.com/product-detail/M1-6-M2-M2-5-M3_1601369820018.html?spm=a2700.details.you_may_like.4.5ca4c478zYw5pz,Alibaba
"Keyboard switch","This will control when the scan starts (when pressed)",0.18,1,0.18,https://www.alibaba.com/product-detail/Outemu-5-Pin-Silent-Honey-Peach_1601612452658.html?spm=a2700.prosearch.normal_offer.d_image.307067afogXIvl&priceId=5d3e52ef2cff40e1ba8b105b1524f7ee,Alibaba
"Keycap","This will go on the switch",0.80,1,0.80,https://www.alibaba.com/product-detail/Professional-Manufacturer-for-Blank-Abs-Injection_1601714378360.html?spm=a2700.prosearch.normal_offer.d_image.496267afcwRaxK&priceId=abf80396b725478bbaf1a841b232f667,Alibaba
"3D Printed Case","This will hold everything",0.00,1,0.00,"There isn't a link","I will print this"
"Shipping","",,,5.47,,
